microsite_id,site,field_lat,field_lon,location,state_province,country,biomimic,zone,sub_zone,wave_exp,tide_height
BMRBUSCAHS1002,USCAHS,36.62193333,-121.9053167,Hopkins,California,USA,robobarnacle,Mid,Mid,exposed,N/A
BMRBUSCALL66,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,robobarnacle,Mid,Mid,N/A,N/A
BMRBUSCALL67,USCALL,34.71911,-120.60889,Lompoc Landing,California,USA,robobarnacle,Mid,Mid,N/A,N/A
BMRBUSWACP104,USWACP,48.45135,-122.9617833,Cattle Point,Washington,USA,robobarnacle,High,High,protected,N/A
BMRCBZSCCB11,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,0m,Backreef,N/A,N/A
BMRCBZSCCB4,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,10m,Forereef,N/A,N/A
BMRCBZSCCB13,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,14m,N/A,N/A,N/A
BMRCBZSCCB10,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,20m,Forereef,N/A,N/A
BMRCBZSCCB6,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,20m,Forereef,N/A,N/A
BMRCBZSCCB12,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,2m,lagoon,N/A,N/A
BMRCBZSCCB8,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,2m,Backreef,N/A,N/A
BMRCBZSCCB9,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,2m,Forereef,N/A,N/A
BMRCBZSCCB2,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,30m,Forereef,N/A,N/A
BMRCBZSCCB5,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,30m,Forereef,N/A,N/A
BMRCBZSCCB7,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,40m,Forereef,N/A,N/A
BMRCBZSCCB3,BZSCCB,16.816373,-88.085053,Carrie Bow Cay,Carrie Bow Cay,Belize,robocoral,5m,Forereef,N/A,N/A
BMRCBZSCCC5,BZSCCC,16.651323,-88.199036,Cat Cay,Cat Cay,Belize,robocoral,0m,Lagoon,N/A,N/A
BMRCBZSCCC6,BZSCCC,16.651323,-88.199036,Cat Cay,Cat Cay,Belize,robocoral,0m,Backreef,N/A,N/A
BMRCBZSCCC3,BZSCCC,16.651323,-88.199036,Cat Cay,Cat Cay,Belize,robocoral,10m,Backreef,N/A,N/A
BMRCBZSCCC4,BZSCCC,16.651323,-88.199036,Cat Cay,Cat Cay,Belize,robocoral,1m,Backreef,N/A,N/A
BMRCBZSCCC1,BZSCCC,16.651323,-88.199036,Cat Cay,Cat Cay,Belize,robocoral,2m,Backreef,N/A,N/A
BMRCBZSCCC2,BZSCCC,16.651323,-88.199036,Cat Cay,Cat Cay,Belize,robocoral,5m,Backreef,N/A,N/A
BMRCBZSCCH2,BZSCCH,16.662506,-88.135285,Channel Cay,Channel Cay,Belize,robocoral,10m,Backreef,N/A,N/A
BMRCBZSCCH1,BZSCCH,16.662506,-88.135285,Channel Cay,Channel Cay,Belize,robocoral,5m,Backreef,N/A,N/A
BMRCBZSCMC2,BZSCMC,17.453855,-88.065378,Manatee Cay,Manatee Cay,Belize,robocoral,10m,Backreef,N/A,N/A
BMRCBZSCMC1,BZSCMC,17.453855,-88.065378,Manatee Cay,Manatee Cay,Belize,robocoral,5m,Backreef,N/A,N/A
BMRCBZSCMC3,BZSCMC,17.453855,-88.065378,Manatee Cay,Manatee Cay,Belize,robocoral,5m,Lagoon,N/A,N/A
